Mixture	CD4	CD8	CTL1	CTL2	Endothelial	Erythroid	ImmatureB	Mature	mDC	memBcell	Mono1	Mono2	Mono3	Monocyte	NK	NKT	Osteoblasts	Osteoclasts	pDC	Pericytes	ProB	Progenitors	TAM	Th117	TIM	TregA	TregR	Tumor	P-value	Correlation	RMSE
DTB.004.C	0.00764998781479023	0.010371582489003	0.0140497968437842	0.0384264360055715	0.0217754229321911	0.00489124092498753	0.00211360707413088	0.0106198540025789	0	0.0184375677962143	0	0.00985807413763492	0.0225431365860807	0.0615628379012225	0.00853046684388374	0.0165262872051057	0.0191374732481565	0.00051068095919953	0.0115547136312417	0.00955620337783398	0.0254653496957868	0.0386094919372167	0.0254787816095138	0.0275870981752741	0.064649478559762	0.0167036422677901	0.00724443523896694	0.506146352742079	0	0.532787389707227	0.886285482770108
DTB.005.BL	0.015392583059146	0.0107655264398964	0.0176167055314031	0.0519269810647413	0.0479556350770229	0.0180503551895041	0.0104968890977796	0	0	0.0106793480439367	0	0.0198762426678675	0.0206713631725442	0.119974410149471	0.00838490665339062	0.00990325988603055	0.0966632108603784	0.0132623262100764	0.0163475383303115	0.0128571697173764	0.0171309703279528	0.0179088067218127	0.0465238899734774	0.0132072382862193	0.0475511935783692	0.012194516861066	0.0115369326188235	0.333122000481402	0	0.853609058024387	0.652300361601612
DTB.009.BL	0.0830395146189055	0.0112296887066675	0.0317829584513671	0.0263337183994015	0.0294649875427181	0.00391399425101674	0.000340381029626029	0	0	0	0	0.0297339854787699	0.0278923034157828	0.11198742658493	0.0178503121347579	0.00891772587762812	0.306748220581974	0.00106078615919794	0.00631737774441097	0	0.00985917974455836	0.0367586753775643	0.0727563638442241	0.00596309976409576	0.0294545480821447	0.0188245118855338	0.00410672378539742	0.125663516539327	0	0.963026007311043	0.373947759079395
DTB.011.B	0.125393876111705	0	0.0214500352712897	0.0772346470047645	0.0855998567169097	0.00118214513862719	0.00804504987082972	0.0236591049624162	0.011156200387013	0.0307214290672905	0	0	0.0214229806226192	0.0318541606402846	0.0275653424473086	0	0.0361087001284091	0.000571479124749391	0.0244654334325495	0.0689721046619964	0.0249775283605122	0	0.0194493226041064	0	0.0705961649980824	0.0206240899298734	0.00470259997061785	0.264247748548046	0	0.739401444678376	0.792989075800447
DTB.019.PRO	0.0284509251076808	0.0137300632191585	0.0133185216619357	0.0709063735701571	0.0533340594346668	0.00543263562903488	0.00731355964695412	0.00408329870631337	0	0.000136560149043401	0	0.00201892539008846	0.025581523122309	0.103798556040986	0.02721752039037	0.00830261746679335	0.122955499671595	0.000628505065991962	0.0234021819210858	0	0.030776869062435	0.0116559681279445	0.0101467753410344	0.0276611601339851	0.0327824051669983	0.0184973920435293	0.0154510566741173	0.342417047255792	0	0.880092195793827	0.587190220575947
DTB.021.D	0.0941445834238837	0.00358361449190603	0.0297448754715406	0.047695083436579	0.0643719456385742	0.0012659905423206	0	0	0	0	0	0.0192917987925968	0.036221743942789	0.0560483283432845	0.0391174378008721	0	0.222527275528488	0.0245341886875652	0.0174528884728655	0	0.0183239618917964	0	0.00260817525801208	0	0.0251630116514227	0.0241915243825544	0.00568539162803411	0.268028180614916	0	0.918755899462765	0.396526424257879
DTB.021.ProC	0.0546797753328409	0.010349133852216	0.0334824597843552	0.0506656335515027	0.0465019991112226	0.00151547325265396	0.00279543825407685	0.00507862031381219	0	0.0110638614053671	0	0.0154511820614471	0.0272246180563979	0.0450765154410323	0.0212716002413302	0	0.223041592078676	0	0.0224415282610968	0	0.0200635380330047	0	0.0157031933893657	0	0.036770988643428	0.0221127177371279	0.0110216943938387	0.323688436805207	0	0.936992352021738	0.352661907817139
DTB.022.BL	0.0208034304562843	0.00439944937218173	0.0175088535864567	0.0486144819190146	0.0379057967461583	0.0098937757752249	0.00072608858664022	0	0	0.0197545263564653	0	0.0180826936324379	0.0251718490723048	0.0827590833860269	0.0321706565253314	0.00133004791452818	0.0825571992298283	0.00779109125663457	0.023977502703681	0.00732788960781851	0.0229975464318816	0.0127946314914647	0.0228363988431747	0.0302526554797243	0.02511830280832	0.0232089582472825	0.00458504675748973	0.417432043813645	0	0.835976033369714	0.695589009244369
DTB.023.BL	0.0401048923188474	0.00024822756132364	0.0182645223273978	0.0456342381135484	0.0427573915859932	0.0017917972998137	0.00933357304551812	0.0265821053429883	0	0	0	0.00978609620205615	0.00545000422489965	0.111270020524161	0.0290800535273702	0	0.0645969293245419	0.000679980474852637	0.013415241737585	0.0230275918715504	0.0172068252689795	0.0393132895935628	0.0289413111251693	0.0355499005824335	0.0483224687140375	0.0289844564530005	0.00524029777461383	0.354418785005755	0	0.848127330669158	0.723761456090278
DTB.034.A	0.0276451404346183	0.0106913044927278	0.00939695638628291	0.0784908073031752	0.0218685130117172	0.0127970876548251	0.00602047213104545	0.00341798500889438	0	0.00552660472848871	0	0.0110371708392875	0.0160214018445856	0.101936229768402	0.0333960785009904	0	0.000213826372382392	0.000302416044408739	0.0163628219228848	0.00248410552810038	0.0204144259634507	0.034861983853608	0	0.00771059363744708	0.0492915978735151	0.0276582587333258	0.0128616766038686	0.489592541361967	0	0.531971139317201	0.893521958798861
