markers.gene	BCell	BCell@p_val_adj	DC	DC@p_val_adj	Endothelia	Endothelia@p_val_adj	Epithelia	Epithelia@p_val_adj	Fibroblast	Fibroblast@p_val_adj	Macrophage	Macrophage@p_val_adj	MastCell	MastCell@p_val_adj	Myofib	Myofib@p_val_adj	Neutrophil	Neutrophil@p_val_adj	pDC	pDC@p_val_adj	PlasmaCell	PlasmaCell@p_val_adj	TCell	TCell@p_val_adj
MS4A1	2.56796541398521	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGHM	2.46019703808607	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD79A	2.41854379542139	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.454358006412434	4.36955288747454e-26	NA	NA
BANK1	2.03914361103983	0	NA	NA	NA	NA	0.356636771498162	3.69848725935299e-103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGHD	1.74274589007989	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LY9	1.71828616299542	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HLA-DRA	1.69480402191763	0	1.92688372156095	0	NA	NA	NA	NA	NA	NA	1.37673355930484	0	NA	NA	NA	NA	NA	NA	0.773377424131158	5.90916484567739e-37	NA	NA	NA	NA
CD74	1.67742846568336	0	1.62392444296726	0	NA	NA	NA	NA	NA	NA	1.15298083146918	1.66955551205131e-300	NA	NA	NA	NA	NA	NA	1.19270692824379	7.61361709329761e-55	NA	NA	NA	NA
HLA-DQA1	1.64443492412402	0	1.75720776878658	0	NA	NA	NA	NA	NA	NA	1.13085936702722	0	NA	NA	NA	NA	NA	NA	0.722635818184704	4.7646931183967e-33	NA	NA	NA	NA
CD83	1.56096569256209	0	0.8061142115127	1.59356376122195e-131	NA	NA	NA	NA	NA	NA	0.934728560584503	3.57354364107637e-242	1.07882036551731	1.69177581635941e-219	NA	NA	NA	NA	1.03849888146797	1.82367932421497e-38	NA	NA	NA	NA
HLA-DRB1	1.44241668148434	0	1.97995222360831	0	NA	NA	NA	NA	NA	NA	1.46250571504274	0	NA	NA	NA	NA	NA	NA	0.926217219140558	1.31520530032876e-46	NA	NA	NA	NA
LYN	1.44221582738423	0	0.367144578455346	2.95792228127983e-127	NA	NA	NA	NA	NA	NA	0.272477184168759	2.37336227630023e-172	NA	NA	NA	NA	1.13515824811506	1.51535509854881e-87	NA	NA	NA	NA	NA	NA
CD37	1.39780823549889	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RUBCNL	1.33723757331674	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.18516175970507	3.1150373232045e-80	NA	NA	NA	NA	NA	NA
RALGPS2	1.3126280680342	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD22	1.30777378747275	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.672708863049966	1.03807640359714e-225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MEF2C	1.28850500875549	0	NA	NA	0.292543784760434	9.81735086714984e-124	NA	NA	NA	NA	NA	NA	NA	NA	0.471357671382974	4.74517788510447e-90	NA	NA	NA	NA	NA	NA	NA	NA
KDM4B	1.28435348821986	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.294394553863783	0.945278528072802	NA	NA	NA	NA	NA	NA
