p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
6.15673829489717e-160	6.74585149414836	0.517	0.035	7.1787568518501e-156	tumor	COLCA1
2.29404729700615e-39	6.03883680107645	0.123	0	2.67485914830917e-35	tumor	AL355994.3
5.19280725707398e-209	5.35436639268057	0.599	0.014	6.05481326174826e-205	tumor	AC091117.1
2.31239909271003e-194	5.31203499767485	0.614	0.045	2.69625734209989e-190	tumor	AC145207.4
1.43303252066476e-73	5.26441424653472	0.263	0.014	1.67091591909511e-69	tumor	AL355338.1
1.75005657184441e-78	5.26032549609416	0.251	0.004	2.04056596277059e-74	tumor	SPINT1-AS1
7.05209502800955e-49	5.15072396206864	0.243	0.04	8.22274280265914e-45	tumor	DRAIC
2.29404729700615e-39	5.11459117072257	0.123	0	2.67485914830917e-35	tumor	AC007405.3
1.17222613938641e-33	5.10244914237586	0.105	0	1.36681567852455e-29	tumor	AP001207.3
4.53346443566782e-76	5.04876763914046	0.269	0.013	5.28601953198867e-72	tumor	AL035661.1
4.37504896313623e-107	4.71564405186033	0.34	0.008	5.10130709101684e-103	tumor	PART1
1.17181360846019e-30	4.60196853438875	0.105	0.003	1.36633466746458e-26	tumor	AC023043.1
6.71566149103372e-108	4.60018969806869	0.322	0	7.83046129854532e-104	tumor	AL121790.1
1.05957461340379e-47	4.5294865802705	0.166	0.006	1.23546399922881e-43	tumor	LINC02197
2.82935518615335e-30	4.45145767975374	0.104	0.003	3.29902814705481e-26	tumor	MIR200CHG
3.186248369507e-58	4.40268112103867	0.219	0.014	3.71516559884516e-54	tumor	AP003498.2
1.50083909759302e-35	4.36111427696208	0.114	0.001	1.74997838779346e-31	tumor	C8orf34-AS1
2.99669802076995e-46	4.35956190183714	0.214	0.028	3.49414989221776e-42	tumor	AC008771.1
4.85704706626544e-77	4.29508288408061	0.264	0.01	5.66331687926551e-73	tumor	SCHLAP1
3.95364127921234e-73	4.2492210932465	0.352	0.059	4.60994573156159e-69	tumor	SNHG19
1.33650691008847e-38	4.21129533338321	0.121	0	1.55836705716315e-34	tumor	LINC00992
2.13353168177986e-19	4.09746241722625	0.11	0.021	2.48769794095531e-15	tumor	PCAT14
1.01497999952166e-34	4.01388408767669	0.24	0.066	1.18346667944225e-30	tumor	CBR3-AS1
3.69073785996613e-24	4.0126700132142	0.104	0.01	4.30340034472051e-20	tumor	ELFN1-AS1
2.17303885428457e-67	3.80569947277422	0.303	0.04	2.5337633040958e-63	tumor	ZNF667-AS1
1.8901236588633e-51	3.5968744935005	0.237	0.031	2.2038841862346e-47	tumor	TMEM99
5.18798538868781e-83	3.57776707458995	0.336	0.034	6.04919096320999e-79	tumor	AC005841.1
1.31275342531837e-43	3.38689367605099	0.172	0.013	1.53067049392123e-39	tumor	MIR4458HG
2.27360193186317e-29	3.37704447917504	0.132	0.014	2.65101985255246e-25	tumor	AC244090.1
8.21318407795209e-23	3.22428202516143	0.132	0.025	9.57657263489213e-19	tumor	AC092718.4
3.00074078563821e-30	3.16296164796614	0.138	0.016	3.49886375605415e-26	tumor	AP001816.1
1.54988005564483e-27	3.0836240270194	0.11	0.008	1.80716014488187e-23	tumor	HECW2-AS1
3.76216385134618e-30	3.06836398182035	0.233	0.066	4.38668305066964e-26	tumor	SNHG25
9.53002695778762e-23	3.02945357031641	0.123	0.021	1.11120114327804e-18	tumor	MAP4K3-DT
5.19817279308957e-81	2.90081931133667	0.528	0.17	6.06106947674244e-77	tumor	AC011479.4
1.23193290981942e-39	2.89889571981719	0.206	0.032	1.43643377284944e-35	tumor	PCAT7
1.36299712415946e-108	2.78127070915673	0.688	0.275	1.58925464676994e-104	tumor	AC145207.3
8.40057393301492e-75	2.75573242330538	0.389	0.072	9.7950692058954e-71	tumor	AC011472.3
9.2954325435348e-146	2.74640183797431	0.946	0.688	1.08384743457616e-141	tumor	AC006064.4
6.1696315107032e-34	2.74416667830807	0.231	0.058	7.19379034147993e-30	tumor	AC027644.3
4.34932518602414e-33	2.6304970542104	0.163	0.022	5.07131316690415e-29	tumor	AL590714.1
2.29983660006869e-37	2.62069142208913	0.285	0.086	2.68160947568009e-33	tumor	LINC00665
4.0619017772999e-39	2.56993881521449	0.226	0.044	4.73617747233168e-35	tumor	AC018521.2
6.03645531333626e-90	2.5612941906192	0.583	0.193	7.03850689535008e-86	tumor	SNHG16
3.09611417505021e-17	2.46993088434242	0.115	0.027	3.61006912810854e-13	tumor	AL445524.1
4.06908319734522e-45	2.4600563267775	0.144	0.001	4.74455100810453e-41	tumor	AC009478.1
2.18810942192202e-21	2.39721247642639	0.136	0.03	2.55133558596108e-17	tumor	AC084125.1
8.51269194294813e-77	2.36363900322395	0.538	0.181	9.92579880547752e-73	tumor	DANCR
5.22909103947244e-16	2.32355148913192	0.159	0.057	6.09712015202487e-12	tumor	PCAT1
1.56594948462397e-30	2.31767251819171	0.111	0.005	1.82589709907155e-26	tumor	LINC00842
3.56017024919378e-25	2.26899883630191	0.112	0.012	4.15115851055995e-21	tumor	AL450306.1
7.84518143001834e-75	2.24380314398531	0.575	0.212	9.14748154740139e-71	tumor	SNHG8
1.07796011663232e-28	2.23869975139627	0.14	0.019	1.25690149599329e-24	tumor	AL031963.1
3.10017976900931e-33	2.22063278853128	0.226	0.054	3.61480961066485e-29	tumor	TP53TG1
4.3232740211406e-11	2.18539821924761	0.114	0.042	5.04093750864993e-07	tumor	UBR5-AS1
4.49941285138108e-24	2.1736899165629	0.147	0.029	5.24631538471034e-20	tumor	AC109322.1
1.52447824763911e-17	2.08910500272658	0.159	0.052	1.7775416367472e-13	tumor	AC106795.2
4.64855401840067e-30	2.00481076949903	0.132	0.013	5.42021398545518e-26	tumor	AC003991.1
4.9963221349808e-21	1.93202581523736	0.148	0.037	5.82571160938761e-17	tumor	AP002360.1
9.55295486654178e-10	1.91306336916974	0.116	0.047	1.11387453743877e-05	tumor	LINC00467
1.11013455657072e-44	1.79812426362856	0.15	0.003	1.29441689296146e-40	tumor	AC020663.2
1.50063367749594e-44	1.790212627443	0.294	0.072	1.74973886796027e-40	tumor	AC018761.2
3.11052465784314e-43	1.68389636942433	0.361	0.115	3.6268717510451e-39	tumor	SNHG9
3.45485271635047e-18	1.60991941877815	0.224	0.093	4.02835826726465e-14	tumor	AC009065.1
3.21795107526729e-14	1.48975256890328	0.206	0.092	3.75213095376165e-10	tumor	AC025259.1
1.06724022815068e-40	1.47942850537597	0.257	0.056	1.24440210602369e-36	tumor	AC091180.3
2.71154395253015e-86	1.45515712623975	0.288	0.009	3.16166024865016e-82	tumor	AC015712.2
8.73380083017977e-122	1.45105509643322	0.627	0.155	1.01836117679896e-117	tumor	MIF-AS1
3.71078596001539e-62	1.42916539899576	0.193	0	4.32677642937794e-58	tumor	AL691482.3
9.99824212323379e-27	1.42400049688248	0.431	0.241	1.16579503156906e-22	tumor	AL662797.1
8.71451453780953e-36	1.40207263268073	0.384	0.149	1.01611239510859e-31	tumor	AC087393.2
2.29856772674148e-16	1.40046836426666	0.15	0.048	2.68012996938057e-12	tumor	AC011481.1
3.96204102483269e-10	1.37035752772815	0.2	0.106	4.61973983495492e-06	tumor	LINC00963
5.31706535098175e-10	1.35536501002915	0.171	0.083	6.19969819924472e-06	tumor	AC024267.6
