p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	10.7495497198565	0.84	0.017	0	tumor	KLK3
0	10.6023903822432	0.794	0.007	0	tumor	KLK2
7.95311543241924e-183	8.87950346426711	0.518	0.004	1.47220119769513e-178	tumor	CLDN3
0	8.68729427802055	0.788	0.004	0	tumor	HOXB13
6.00174719240971e-194	8.68181499178855	0.549	0.007	1.11098342278696e-189	tumor	FXYD3
8.85223836413552e-138	8.66744469703729	0.408	0.004	1.63863784358513e-133	tumor	GP2
4.57884529357335e-186	8.53591204422835	0.517	0	8.47590052293363e-182	tumor	SPDEF
6.3093522538021e-270	8.5344782532037	0.726	0.021	1.16792419570131e-265	tumor	NUPR1
1.22249593412136e-157	8.3897834781219	0.457	0.004	2.26296222365205e-153	tumor	AZGP1
0	8.34607919516021	0.842	0.034	0	tumor	NKX3-1
2.14977253034994e-65	8.30665701511305	0.202	0	3.97944393093077e-61	tumor	SCGB1D2
1.81702578342498e-296	8.22490710643922	0.816	0.055	3.36349642769799e-292	tumor	KRT8
7.90174472180216e-195	7.94824130494288	0.538	0.001	1.4626919654528e-190	tumor	PRAC1
8.3796974510641e-171	7.78201520255488	0.492	0.005	1.55116579516648e-166	tumor	PPP1R1B
3.30715530013332e-122	7.78112356299099	0.368	0.004	6.1218751760768e-118	tumor	HPN
3.62835706046249e-148	7.68136393051384	0.426	0	6.71645175462211e-144	tumor	STEAP1
0	7.66403564407174	0.87	0.045	0	tumor	KRT18
9.25575853583738e-132	7.62801839066386	0.391	0.003	1.71333346256886e-127	tumor	TSPAN1
1.93947688255936e-162	7.62109577936216	0.465	0.002	3.59016565730563e-158	tumor	FOLH1
2.52854729577807e-99	7.52646189027274	0.31	0.004	4.68059389921479e-95	tumor	AGR2
1.0131575783991e-161	7.51291108568134	0.467	0.004	1.87545599337457e-157	tumor	AP1M2
3.89230007224297e-152	7.48231771280916	0.459	0.011	7.20503666372896e-148	tumor	NEFH
3.66524594418135e-137	7.4512962538596	0.403	0.002	6.78473676727409e-133	tumor	RAB25
7.00568788391164e-159	7.41088683575933	0.468	0.007	1.29682288419088e-154	tumor	CLDN4
1.44316918168108e-106	7.40605119547933	0.318	0	2.67145047220985e-102	tumor	MB
8.55562415427453e-83	7.38518456772316	0.255	0.001	1.58373158719776e-78	tumor	MSMB
2.15741324404708e-69	7.33836038047092	0.22	0.002	3.99358765605555e-65	tumor	CT45A3
1.3775717924663e-251	7.32546591715781	0.682	0.013	2.55002314503436e-247	tumor	AR
1.96778126116411e-72	7.18912025031238	0.225	0.001	3.64255989254088e-68	tumor	HSPB6
1.46038626520122e-190	7.17460561680637	0.567	0.022	2.70332101551397e-186	tumor	TRPM4
5.93750994281524e-106	7.09767903354488	0.327	0.004	1.09909246551453e-101	tumor	SMIM22
1.00236640261677e-100	7.05256121185394	0.33	0.012	1.8554804478839e-96	tumor	ELF3
4.05817487490992e-104	7.00447545786803	0.313	0.001	7.51208751094575e-100	tumor	TSPAN8
1.09057191146439e-51	6.95143657744066	0.17	0.003	2.01875766531174e-47	tumor	B3GNT6
5.32091668316166e-253	6.84836310324042	0.665	0.001	9.84954887220056e-249	tumor	KLK4
1.53203930212794e-93	6.8261167429759	0.288	0.002	2.83595795216903e-89	tumor	PRR15L
1.18551757909679e-42	6.81080346385684	0.151	0.006	2.19451159066606e-38	tumor	GDF15
1.22001556292704e-70	6.80410110971662	0.226	0.003	2.25837080853425e-66	tumor	RAMP1
2.56087794003759e-60	6.74205368665702	0.2	0.004	4.74044115480358e-56	tumor	UGT2B15
9.30774850240897e-52	6.73306812203143	0.172	0.004	1.72295732528093e-47	tumor	UGT2B4
7.09979584573254e-88	6.71576157012461	0.286	0.007	1.31424320900355e-83	tumor	TMEFF2
2.18124737410015e-89	6.68472288069164	0.275	0.001	4.0377070141968e-85	tumor	UGT2A3
3.75675253507881e-72	6.64346494834717	0.226	0.001	6.95412461768438e-68	tumor	CRYM
1.46165398936871e-34	6.59888306723545	0.117	0.003	2.70566769972042e-30	tumor	SFTPA2
3.69341681144158e-87	6.58746848907667	0.273	0.003	6.83688385965952e-83	tumor	SPOCK1
2.3228662221249e-116	6.47109542017874	0.374	0.013	4.2998576637754e-112	tumor	MDK
2.41605471613306e-74	6.43295123695468	0.244	0.006	4.47235888503392e-70	tumor	OR51E2
2.51212825167166e-69	6.4322488660811	0.228	0.005	4.6502006066694e-65	tumor	GNMT
1.63966792585647e-81	6.38221548268557	0.287	0.016	3.0351892975529e-77	tumor	SLC44A4
4.1703055595064e-100	6.33469102609011	0.312	0.004	7.71965262120231e-96	tumor	CBSL
1.64687196627472e-118	6.30939880971918	0.355	0.002	3.04852469677113e-114	tumor	C1orf116
2.03276760278793e-106	6.2851699959928	0.342	0.01	3.76285610952073e-102	tumor	ZG16B
5.05844864143864e-98	6.25484595143815	0.361	0.031	9.36369428016707e-94	tumor	ALDH7A1
