logFC	AveExpr	t	P.Value	adj.P.Val	B	Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	Cluster	Alpha
10.8942926010691	-0.256058885970055	43.9428237778878	2.03299151320426e-157	1.21752957452213e-154	349.493838717183	RNU4.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
9.2141847129518	-1.03687158392172	37.855014410891	4.5807656945106e-136	1.26338723319259e-133	300.509577815209	LINC00632	NA	NA	NA	NA	NA	NA	Unknown	0.1
8.67595549611789	0.845657055531709	41.401759207245	9.7109326873473e-149	4.52335244576637e-146	329.623343020928	SNORA73B	NA	NA	NA	NA	NA	NA	Unknown	0.1
8.67004371531177	-0.929146130737801	62.579538780742	3.03894696606075e-212	7.96242091944991e-209	475.066048450983	RN7SKP80	NA	NA	NA	NA	NA	NA	Unknown	0.1
8.46031914145271	-1.11294766570809	36.6688172555955	1.12063821761632e-131	2.47259975573218e-129	290.431361249035	MT.TC	NA	NA	NA	NA	NA	NA	Unknown	0.1
7.80784951582452	0.180635616097019	17.0692733327572	9.07066432584929e-50	5.89185605621714e-49	102.162373695495	XACT	NA	NA	NA	NA	NA	NA	Unknown	0.1
7.53274893506137	-1.48122440620803	39.0371259183174	2.30593686542532e-140	7.67218137082226e-138	310.383976348624	SNORD17	NA	NA	NA	NA	NA	NA	Unknown	0.1
7.05650192272277	-0.816568325693996	17.4013199428842	3.23581486226612e-51	2.21943440209294e-50	105.490434877918	LRRC15	NA	NA	NA	NA	NA	NA	Unknown	0.1
6.9470630863884	-0.998347719786078	31.5396986096346	8.036580111522e-112	8.02165503417203e-110	244.807902103837	H1.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
6.64319273048431	5.84956784494857	34.7530651143298	1.98799481752387e-124	3.50171087143847e-122	273.716111014913	RN7SL1	NA	NA	NA	NA	NA	NA	Unknown	0.1
6.59272474170191	-0.201286026670856	53.4591269274979	3.37458482423179e-187	4.7156448333815e-184	417.851905188353	COQ8A	NA	NA	NA	NA	NA	NA	Unknown	0.1
6.53827131043866	-1.53399525054603	49.6858769540394	7.06005626469102e-176	7.04694473162802e-173	391.862742053484	AC005261.5	NA	NA	NA	NA	NA	NA	Unknown	0.1
6.48995535840364	1.01649270802977	53.5313595592635	2.07656621799958e-187	3.10906460682065e-184	418.373105464837	H2AC20	NA	NA	NA	NA	NA	NA	Unknown	0.1
6.40505320811541	-1.60381756782092	32.6263193588001	3.79910570970449e-116	4.74006278459022e-114	254.749245143796	H2BC17	NA	NA	NA	NA	NA	NA	Unknown	0.1
6.36830589965873	-1.50397563451031	27.5828408901726	1.48498892692704e-95	6.63685562842593e-94	207.419029362584	PRNCR1	NA	NA	NA	NA	NA	NA	Unknown	0.1
6.14980353449905	-1.50213375003945	36.0046522397133	3.46699365525712e-129	6.7288568525782e-127	284.711212960276	STARD13.AS	NA	NA	NA	NA	NA	NA	Unknown	0.1
6.11746700231395	8.87680119233399	35.6069108382589	1.10380347275859e-127	2.02954601688533e-125	281.175890064076	MALAT1	1.58074801087073e-209	2.03044245572193	0.995	0.664	1.84315218067527e-205	NK/T	NK/T	1
6.0898487279757	-1.71617282551086	44.6290627481432	1.04645994456552e-159	7.07575706388319e-157	354.769326667045	AL022323.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.83520242548127	-1.96113035382946	35.8084332186431	1.90689187994806e-128	3.60093339599922e-126	282.995923716873	AC211433.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.7853622664269	1.57034214958815	31.1636702944212	2.60928788232988e-110	2.38835298259898e-108	241.322373713276	H1.4	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.76498802882592	1.0000329340151	23.5474260701744	3.06732823517042e-78	6.31574333373352e-77	167.569643587418	FNDC1	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.69700177914553	-1.51138234126727	25.7941834174473	5.86791631262642e-88	1.84680771514958e-86	189.958517456545	IGF2	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.68580782416175	-0.188953770423183	14.7457315532737	8.37448581631987e-40	3.90430598745286e-39	79.2729868048205	COL11A1	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.67205966495674	-1.14964839053467	43.0941485122032	1.48096852693411e-154	7.76064532326649e-152	342.967381515575	SHOC1	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.64288577126214	-1.45818405310772	36.5241119299189	3.89080892687807e-131	8.32196386900931e-129	289.186738694817	ZBED6	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.63629809170465	-2.08492409273689	44.8732510535835	1.6255566012863e-160	1.13577639731874e-157	356.586445004945	AC005856.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.544650272076	-1.58190370361696	37.3184755451103	4.33041422799543e-134	1.05546293759316e-131	295.96512905922	SMG1P1	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.48738878052416	-1.58569088962351	25.4369103145291	2.00357785418017e-86	5.8901816832357e-85	186.434372157485	TBX18	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.37419601439205	0.868232881464946	28.1298809778085	7.53069338861988e-98	3.75835390759194e-96	212.668846846231	ADAM12	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.36050277550333	2.07455466348906	50.3528676123927	6.35529075472046e-178	7.01122365840503e-175	396.679810416495	ZNF460	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.3059599542887	-1.68506971904342	35.7785986729939	2.47218665987149e-128	4.62674148013985e-126	282.741039070897	GSN.AS1	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.29421322462085	-1.80682015508502	38.2183379511183	2.14756098978509e-137	6.25208693151184e-135	303.544158872324	LRRTM2	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.2908828683545	-2.0013131115239	38.3892661715512	5.11873133199453e-138	1.57784893308731e-135	304.961523869771	Z82217.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.2817107684197	-0.475303521198151	22.4771430939483	1.47910651602548e-73	2.49024511505302e-72	156.832500778283	H4C4	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.27691157144791	-0.241782759569973	22.2636429150231	1.28039782155329e-72	2.06290689758482e-71	154.666467839691	PLAC4	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.26309164400566	-1.96133981796845	26.0687537760872	3.92224959072278e-89	1.30914448520924e-87	192.673224030021	TEX41	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.24463861402145	-1.12412493309205	28.8653211147913	6.51625028412536e-101	3.8583932826427e-99	219.737434060952	H2BC13	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.21645499767655	-1.93667437477022	25.8158770943422	4.7374179188801e-88	1.49549724394045e-86	190.188462651196	IGSF10	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.16328947111305	3.42271537292294	31.1010264642486	4.66707313649772e-110	4.21666034543658e-108	240.707600614873	ZBTB20	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.12950463083097	-0.802017551876735	47.5876496059199	2.59473851265927e-169	2.47219608926596e-166	376.823589884472	FANCG	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.10438964225875	-0.945107653639027	37.3562373914534	3.14035108553578e-134	7.8362975123709e-132	296.297975401332	SYCP3	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.10269320779	-1.98461451792123	34.4714362138321	2.40390627481859e-123	3.90606817259476e-121	271.273520224127	AC005632.6	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.06302958236934	-1.59621758850935	46.7082480310689	1.68206727119329e-166	1.46907550297844e-163	370.309678597467	SPDYE1	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.00684548383979	-1.54537725197668	29.742224705147	1.57310440386117e-104	1.09547645878186e-102	228.05084067154	MIR133A1HG	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.00255415142719	-2.08143092730232	36.1928239821521	6.79065918260265e-130	1.35560959168128e-127	286.30179877167	ACTL10	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.97517704296832	-1.07365269967603	23.1346777430273	1.9473525390823e-76	3.69732396482827e-75	163.473412132562	MIR223HG	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.94986270390024	-1.85466052935077	31.8601995146848	4.19498484966537e-113	4.48627946090999e-111	247.750778964907	AC127024.8	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.94948014944243	-1.84350559267835	34.7353555854067	2.32465415563584e-124	4.02703105423825e-122	273.607953288499	OMG	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.94898040983332	-1.61129290169829	45.1268555777224	2.3668678756068e-161	1.71075577726187e-158	358.502365990893	AL049840.6	NA	NA	NA	NA	NA	NA	Unknown	0.1
